sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,sample_type,nucleotide_type,collection_location,host_genome,notes
RR034H_014_wbldRa_S13,Vida Ahyong,2019-07-28 18:45:53 -0700,COMPLETE,2450.0,1414978,890,0.063,71576,1.0,57.561,1.24,142416,141472,81976,66174,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_015_WBaR1_S14,Vida Ahyong,2019-07-28 18:45:53 -0700,COMPLETE,3375.0,5160688,3626,0.07,10822,1.0,50.577,4.0,322098,321666,162908,40730,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_017_nsbRa_S15,Vida Ahyong,2019-07-28 18:45:54 -0700,COMPLETE,2873.0,303622,20284,6.681,39384,1.0,81.401,1.25,81586,80560,66412,52926,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_018_nsbRa_S16,Vida Ahyong,2019-07-28 18:45:54 -0700,COMPLETE,5034.0,1795872,344684,19.193,204060,1.0,85.823,3.78,1578718,1578458,1354904,358188,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_019_nsbRa_S17,Vida Ahyong,2019-07-28 18:45:54 -0700,COMPLETE,5316.0,501470,88460,17.64,110614,1.0,81.897,1.27,206478,205884,169100,133378,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_020_nsbRa_S18,Vida Ahyong,2019-07-28 18:45:54 -0700,COMPLETE,4523.0,644260,378644,58.772,17542,1.0,85.442,1.21,562738,562380,480816,396498,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_021_nsbRa_S19,Vida Ahyong,2019-07-28 18:45:54 -0700,COMPLETE,6668.0,2071354,960782,46.384,203588,1.0,86.375,1.65,1861536,1861454,1607896,976484,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_022_nsbRa_S20,Vida Ahyong,2019-07-28 18:45:54 -0700,COMPLETE,2688.0,1315742,18540,1.409,27094,1.0,64.67,1.15,181196,180322,117180,101790,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_023_nsbRa_S21,Vida Ahyong,2019-07-28 18:45:54 -0700,COMPLETE,2807.0,304302,78508,25.799,11266,1.0,85.898,1.22,138772,137932,119202,97746,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_024_nsbRa_S22,Vida Ahyong,2019-07-28 18:45:54 -0700,COMPLETE,4947.0,343978,105200,30.583,93218,1.0,82.539,1.19,173594,172986,143282,120122,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_025_nsbRa_S23,Vida Ahyong,2019-07-28 18:45:54 -0700,COMPLETE,5344.0,843382,434528,51.522,23580,1.0,86.132,1.29,685990,685152,590856,459240,nasopharyngeal swab,RNA,"Mahajanga, Madagascar",Human,""
RR034H_026_nsbRa_S24,Vida Ahyong,2019-07-28 18:45:55 -0700,COMPLETE,5427.0,1028224,578100,56.223,96544,1.0,85.05,1.28,885644,885076,753240,588746,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_027_nsbRa_S25,Vida Ahyong,2019-07-28 18:45:55 -0700,COMPLETE,3573.0,268408,35330,13.163,670,1.0,81.984,1.16,85024,83976,69706,60192,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_028_nsbRa_S26,Vida Ahyong,2019-07-28 18:45:55 -0700,COMPLETE,8830.0,3697014,1649688,44.622,340106,1.0,82.592,1.61,3257094,3256906,2690112,1673910,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_029_nsbRa_S27,Vida Ahyong,2019-07-28 18:45:55 -0700,COMPLETE,2498.0,693428,17838,2.572,5564,1.0,63.509,1.11,205360,204804,130422,117642,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_030_nsbRa_S28,Vida Ahyong,2019-07-28 18:45:55 -0700,COMPLETE,2946.0,3357524,1900446,56.603,46198,1.0,85.138,1.45,3278658,3278356,2791388,1919430,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_031_nsbRa_S29,Vida Ahyong,2019-07-28 18:45:55 -0700,COMPLETE,6980.0,3209598,1090632,33.98,547270,1.0,81.815,1.63,2256134,2255608,1845858,1130266,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_032_nsbRa_S30,Vida Ahyong,2019-07-28 18:45:55 -0700,COMPLETE,9497.0,3400596,1558162,45.82,512614,1.0,81.599,1.46,2847848,2847766,2323808,1597116,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_033_nsbRa_S31,Vida Ahyong,2019-07-28 18:45:55 -0700,COMPLETE,5982.0,2175068,813848,37.417,392114,1.0,82.976,1.3,1350956,1350796,1120968,861410,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_034_nsbRa_S32,Vida Ahyong,2019-07-28 18:45:55 -0700,COMPLETE,5315.0,2782796,398888,14.334,1191526,1.0,79.276,2.92,1524920,1524768,1208896,414384,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_035_nsbRa_S33,Vida Ahyong,2019-07-28 18:45:55 -0700,COMPLETE,6600.0,1801430,1053496,58.481,19716,1.0,84.034,1.35,1722540,1722416,1447526,1069508,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_036_nsbRa_S34,Vida Ahyong,2019-07-28 18:45:55 -0700,COMPLETE,2980.0,522686,17186,3.288,336242,1.0,73.374,1.28,59198,58658,43436,33948,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_037_nsbRa_S35,Vida Ahyong,2019-07-28 18:45:56 -0700,COMPLETE,2853.0,602984,92566,15.351,290620,1.0,80.654,1.3,172360,172078,139016,106814,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_038_nsbRa_S36,Vida Ahyong,2019-07-28 18:45:56 -0700,COMPLETE,5389.0,968424,460884,47.591,56406,1.0,83.746,1.33,766964,766602,642304,481296,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_039_nsbRa_S37,Vida Ahyong,2019-07-28 18:45:56 -0700,COMPLETE,6612.0,4357210,456250,10.471,2375832,1.0,81.22,2.37,1571100,1570512,1276040,539000,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_040_nsbRa_S38,Vida Ahyong,2019-07-28 18:45:56 -0700,COMPLETE,9565.0,6238314,2579011,41.341,709446,0.775271,82.624,1.7,5417926,5417842,4476494,2625542,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_041_nsbRa_S39,Vida Ahyong,2019-07-28 18:45:56 -0700,COMPLETE,2467.0,1344744,86622,6.442,654,1.0,69.87,1.18,359944,359784,251492,213304,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_042_nsbRa_S40,Vida Ahyong,2019-07-28 18:45:56 -0700,COMPLETE,4482.0,8836646,196400,2.223,7278552,1.0,75.085,5.18,1518510,1518360,1140180,219976,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_043_nsbRa_S41,Vida Ahyong,2019-07-28 18:45:56 -0700,COMPLETE,7429.0,1907584,1028492,53.916,115130,1.0,84.015,1.39,1737422,1737122,1459698,1048260,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_044_nsbRa_S42,Vida Ahyong,2019-07-28 18:45:56 -0700,COMPLETE,2621.0,3195930,1364722,42.702,281000,1.0,84.239,1.55,2589638,2589476,2181498,1405912,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_045_nsbRa_S43,Vida Ahyong,2019-07-28 18:45:56 -0700,COMPLETE,2437.0,416418,29162,7.003,56992,1.0,79.662,1.24,71866,71052,57250,46300,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_046_nsbRa_S44,Vida Ahyong,2019-07-28 18:45:57 -0700,COMPLETE,6042.0,2022870,1008880,49.874,11984,1.0,87.555,1.6,1904424,1904086,1667426,1042694,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_047_nsbRa_S45,Vida Ahyong,2019-07-28 18:45:57 -0700,COMPLETE,10020.0,4304904,2259784,52.493,29748,0.885036,85.08,1.57,4222590,4222434,3592600,2282100,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_048_nsbRa_S46,Vida Ahyong,2019-07-28 18:45:57 -0700,COMPLETE,5194.0,1410152,393684,27.918,14300,1.0,84.12,1.57,845602,845392,711320,453294,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_049_nsbRa_S47,Vida Ahyong,2019-07-28 18:45:57 -0700,COMPLETE,6394.0,6348076,508990,8.018,3751048,1.0,82.081,3.38,2146926,2146740,1762228,521962,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_050_nsbRa_S48,Vida Ahyong,2019-07-28 18:45:57 -0700,COMPLETE,2446.0,199968,11860,5.931,4936,1.0,79.121,1.16,34350,34138,27178,23470,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_051_nsbRa_S49,Vida Ahyong,2019-07-28 18:45:57 -0700,COMPLETE,2448.0,185792,27188,14.634,350,1.0,85.044,1.23,55844,55534,47492,38746,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_052_nsbRa_S50,Vida Ahyong,2019-07-28 18:45:57 -0700,COMPLETE,2453.0,148910,2976,1.999,1368,1.0,82.585,1.4,27838,27316,22990,16382,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_053_nsbRa_S51,Vida Ahyong,2019-07-28 18:45:57 -0700,COMPLETE,2959.0,4500138,1663708,36.97,582410,1.0,83.149,1.57,3229892,3229626,2685618,1705410,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_054_nsbRa_S52,Vida Ahyong,2019-07-28 18:45:57 -0700,COMPLETE,5736.0,10816246,163370,1.51,304948,1.0,67.004,1.35,1745774,1745446,1169736,869250,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_055_nsbRa_S53,Vida Ahyong,2019-07-28 18:45:57 -0700,COMPLETE,7391.0,3903018,998384,25.58,1096564,1.0,81.173,1.96,2461206,2460978,1997826,1020264,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_056_nsbRa_S54,Vida Ahyong,2019-07-28 18:45:57 -0700,COMPLETE,9484.0,2652652,1585940,59.787,44500,1.0,83.288,1.29,2530684,2530524,2107744,1633392,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_057_nsbRa_S55,Vida Ahyong,2019-07-28 18:45:58 -0700,COMPLETE,2573.0,496524,157798,31.781,1936,1.0,84.964,1.27,264078,263904,224370,177008,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_058_nsbRa_S56,Vida Ahyong,2019-07-28 18:45:58 -0700,COMPLETE,4096.0,638006,321076,50.325,6,1.0,88.212,1.75,637184,636990,562072,322038,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_059_nsbRa_S57,Vida Ahyong,2019-07-28 18:45:58 -0700,COMPLETE,2503.0,5202032,17418,0.335,4950522,1.0,49.533,3.7,239846,239712,118804,32140,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_060_nsbRa_S58,Vida Ahyong,2019-07-28 18:45:58 -0700,COMPLETE,9788.0,3542840,1898704,53.593,169318,1.0,83.81,1.44,3303512,3303300,2768686,1918636,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_061_nsbRa_S59,Vida Ahyong,2019-07-28 18:45:58 -0700,COMPLETE,3557.0,280706,77280,27.531,4958,1.0,87.555,1.2,120148,120066,105196,87540,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_062_nsbRa_S60,Vida Ahyong,2019-07-28 18:45:58 -0700,COMPLETE,4219.0,520858,145390,27.914,149390,1.0,82.337,1.35,251448,251322,207034,153746,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_063_nsbRa_S61,Vida Ahyong,2019-07-28 18:45:58 -0700,COMPLETE,3520.0,197614,58200,29.451,28464,1.0,84.757,1.23,93840,93638,79536,64568,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_064_nsbRa_S62,Vida Ahyong,2019-07-28 18:45:58 -0700,COMPLETE,2531.0,106136,5202,4.901,188,1.0,77.159,11.83,97396,96834,75150,6354,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_065_nsbRa_S63,Vida Ahyong,2019-07-28 18:45:58 -0700,COMPLETE,2366.0,199152,2220,1.115,116,1.0,79.128,1.2,50460,49760,39928,33290,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_066_nsbRa_S64,Vida Ahyong,2019-07-28 18:45:58 -0700,COMPLETE,6630.0,3684984,1221600,33.151,555258,1.0,82.231,1.78,2740130,2739766,2253230,1267816,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_067_nsbRa_S65,Vida Ahyong,2019-07-28 18:45:59 -0700,COMPLETE,9379.0,3264678,1803926,55.256,239864,1.0,84.093,1.28,2813424,2812996,2365896,1843102,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_068_nsbRa_S66,Vida Ahyong,2019-07-28 18:45:59 -0700,COMPLETE,9291.0,10853240,2627750,24.212,1722074,0.761101,81.786,2.79,9084796,9084526,7430076,2659258,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_069_nsbRa_S67,Vida Ahyong,2019-07-28 18:45:59 -0700,COMPLETE,8834.0,6159264,1562082,25.362,1311948,1.0,79.511,2.28,4552946,4552680,3620106,1591158,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_070_nsbRa_S68,Vida Ahyong,2019-07-28 18:45:59 -0700,COMPLETE,3896.0,276824,64722,23.38,10870,1.0,84.352,1.21,117152,116652,98820,81906,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_071_nsbRa_S69,Vida Ahyong,2019-07-28 18:45:59 -0700,COMPLETE,7865.0,1547108,618660,39.988,337202,1.0,82.719,1.32,1016622,1016108,840936,636724,nasopharyngeal swab,RNA,"Mahajanga, Madagascar",Human,""
RR034H_072_nsbRa_S70,Vida Ahyong,2019-07-28 18:45:59 -0700,COMPLETE,7036.0,2034066,1012064,49.756,127192,1.0,83.824,1.39,1732318,1731316,1452104,1048214,nasopharyngeal swab,RNA,"Toamasina, Madagascar",Human,""
RR034H_073_nsbRa_S71,Vida Ahyong,2019-07-28 18:45:59 -0700,COMPLETE,4012.0,401030,70432,17.563,75328,1.0,81.525,1.21,130660,128782,106520,88392,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_074_nsbRa_S72,Vida Ahyong,2019-07-28 18:45:59 -0700,COMPLETE,3456.0,466738,43218,9.26,85236,1.0,74.336,1.25,104498,104182,77680,62216,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_075_nsbRa_S73,Vida Ahyong,2019-07-28 18:45:59 -0700,COMPLETE,5743.0,1391336,595144,42.775,20140,1.0,86.514,1.83,1303342,1302728,1127576,614990,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_076_nsbRa_S74,Vida Ahyong,2019-07-28 18:45:59 -0700,COMPLETE,8182.0,3717092,1243404,33.451,592248,1.0,82.332,1.85,2843656,2843438,2341248,1268500,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_077_nsbRa_S75,Vida Ahyong,2019-07-28 18:46:00 -0700,COMPLETE,2745.0,372754,69242,18.576,4126,1.0,86.858,1.22,130228,129878,113114,93024,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_078_nsbRa_S76,Vida Ahyong,2019-07-28 18:46:00 -0700,COMPLETE,7006.0,1152892,764838,66.341,2044,1.0,87.128,1.21,1088540,1088292,948426,781778,nasopharyngeal swab,RNA,"Toliara, Madagascar",Human,""
RR034H_079_nsbRa_S77,Vida Ahyong,2019-07-28 18:46:00 -0700,COMPLETE,8180.0,3186608,967262,30.354,712672,1.0,81.977,1.89,2329788,2328826,1909884,1008972,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_080_nsbRa_S78,Vida Ahyong,2019-07-28 18:46:00 -0700,COMPLETE,2734.0,209806,11704,5.578,134,1.0,77.576,1.14,76508,75660,59352,51958,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_081_nsbRa_S79,Vida Ahyong,2019-07-28 18:46:00 -0700,COMPLETE,3628.0,443004,146996,33.182,20734,1.0,84.486,1.21,236248,235792,199596,164372,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_082_nsbRa_S80,Vida Ahyong,2019-07-28 18:46:00 -0700,COMPLETE,5877.0,1844012,706576,38.317,72218,1.0,83.182,1.32,1186850,1186196,987246,746834,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_083_nsbRa_S81,Vida Ahyong,2019-07-28 18:46:00 -0700,COMPLETE,1654.0,6185596,114950,1.858,4130868,1.0,70.38,3.74,725604,725408,510682,136392,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_084_nsbRa_S82,Vida Ahyong,2019-07-28 18:46:00 -0700,COMPLETE,9343.0,4694956,2328137,49.588,26916,0.859028,85.45,1.65,4549622,4549076,3887666,2359918,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_085_nsbRa_S83,Vida Ahyong,2019-07-28 18:46:00 -0700,COMPLETE,3400.0,2230612,90070,4.038,1541148,1.0,63.689,2.53,454788,450764,289648,114384,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_086_nsbRa_S84,Vida Ahyong,2019-07-28 18:46:00 -0700,COMPLETE,6495.0,1464142,760622,51.95,152444,1.0,85.478,1.31,1193158,1192092,1019890,780486,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_087_nsbRa_S85,Vida Ahyong,2019-07-28 18:46:00 -0700,COMPLETE,6652.0,1415194,690430,48.787,100748,1.0,84.871,1.36,1143854,1143122,970806,714900,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_088_nsbRa_S86,Vida Ahyong,2019-07-28 18:46:01 -0700,COMPLETE,8528.0,4231500,1239240,29.286,1312298,1.0,83.985,1.92,2885694,2885398,2423564,1263756,nasopharyngeal swab,RNA,"Mahajanga, Madagascar",Human,""
RR034H_089_nsbRa_S87,Vida Ahyong,2019-07-28 18:46:01 -0700,COMPLETE,6022.0,1092984,73448,6.72,497050,1.0,73.506,1.35,174960,174116,128606,95250,nasopharyngeal swab,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_090_nsbRa_S88,Vida Ahyong,2019-07-28 18:46:01 -0700,COMPLETE,8512.0,2280636,1372092,60.163,139734,1.0,83.704,1.26,2089342,2088702,1748864,1387838,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_091_nsbRa_S89,Vida Ahyong,2019-07-28 18:46:01 -0700,COMPLETE,5320.0,594108,240266,40.441,50014,1.0,84.107,1.22,378690,378038,318504,260440,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_092_nsbRa_S90,Vida Ahyong,2019-07-28 18:46:01 -0700,COMPLETE,4979.0,368764,151486,41.079,532,1.0,85.474,1.18,239218,238882,204468,173050,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_093_nsbRa_S91,Vida Ahyong,2019-07-28 18:46:01 -0700,COMPLETE,6294.0,879304,499666,56.825,15962,1.0,85.553,1.29,772736,772284,661102,513322,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_094_nsbRa_S92,Vida Ahyong,2019-07-28 18:46:01 -0700,COMPLETE,3334.0,463392,67842,14.64,4840,1.0,84.891,1.29,149730,148836,127108,98424,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_095_nsbRa_S93,Vida Ahyong,2019-07-28 18:46:01 -0700,COMPLETE,4977.0,691116,261010,37.766,1738,1.0,84.85,1.19,409228,408928,347232,292148,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_096_nsbRa_S94,Vida Ahyong,2019-07-28 18:46:01 -0700,COMPLETE,5649.0,890436,446082,50.097,1368,1.0,87.681,1.44,767958,767556,673352,469088,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_097_nsbRa_S95,Vida Ahyong,2019-07-28 18:46:02 -0700,COMPLETE,2990.0,646590,8240,1.274,1078,1.0,63.859,1.16,108266,107702,69138,59500,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_098_nsbRa_S96,Vida Ahyong,2019-07-28 18:46:02 -0700,COMPLETE,9036.0,2305218,1553454,67.389,7988,1.0,87.647,1.28,2282834,2282652,2000832,1565596,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_099_nsbRa_S97,Vida Ahyong,2019-07-28 18:46:02 -0700,COMPLETE,7658.0,1861170,867380,46.604,85036,1.0,85.846,1.48,1555042,1554382,1334944,900500,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_100_nsbRa_S98,Vida Ahyong,2019-07-28 18:46:02 -0700,COMPLETE,7968.0,2325002,1073240,46.161,304122,1.0,82.846,1.35,1799062,1798750,1490454,1107350,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_101_nsbRa_S99,Vida Ahyong,2019-07-28 18:46:02 -0700,COMPLETE,3437.0,2777428,24258,0.873,2014966,1.0,60.636,2.17,149420,149104,90602,41826,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_102_nsbRa_S100,Vida Ahyong,2019-07-28 18:46:02 -0700,COMPLETE,6682.0,963340,542398,56.304,62834,1.0,83.61,1.27,836804,836606,699650,553034,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_103_nsbRa_S101,Vida Ahyong,2019-07-28 18:46:02 -0700,COMPLETE,9585.0,4737064,1904320,40.2,185302,1.0,85.188,1.93,4397576,4396980,3746192,1940320,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_104_nsbRa_S102,Vida Ahyong,2019-07-28 18:46:02 -0700,COMPLETE,3425.0,7735720,21908,0.283,7356054,1.0,58.294,5.65,361812,361620,210914,37362,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_105_nsbRa_S103,Vida Ahyong,2019-07-28 18:46:02 -0700,COMPLETE,2938.0,297098,5374,1.809,3330,1.0,79.992,1.25,35156,34338,28122,22410,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_106_nsbRa_S104,Vida Ahyong,2019-07-28 18:46:03 -0700,COMPLETE,3303.0,317814,92322,29.049,5172,1.0,86.041,1.19,151590,151322,130430,109338,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_107_nsbRa_S105,Vida Ahyong,2019-07-28 18:46:03 -0700,COMPLETE,3786.0,319830,89402,27.953,7924,1.0,83.899,1.17,142636,142332,119670,102334,nasopharyngeal swab,RNA,"Toliara, Madagascar",Human,""
RR034H_108_nsbRa_S106,Vida Ahyong,2019-07-28 18:46:03 -0700,COMPLETE,6502.0,1200876,680152,56.638,89680,1.0,85.391,1.34,1087224,1087068,928392,692476,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
RR034H_109_nsbRa_S107,Vida Ahyong,2019-07-28 18:46:03 -0700,COMPLETE,3281.0,339388,70246,20.698,57038,1.0,82.693,1.28,124366,124142,102842,80290,nasopharyngeal swab,RNA,"Antananarivo, Madagascar",Human,""
