sample_name,tax_id,genus_name,taxon_name,aggregatescore,NT_r,NT_rpm,NT_zscore,NR_r,NR_rpm,NR_zscore
RR034H_008_mad_W6a_S8,535,Chromobacterium,Chromobacterium,,0,0,-100,2,10.2294465,-0.1699737
RR034H_008_mad_W6a_S8,536,Chromobacterium,Chromobacterium violaceum,,0,0,-100,2,10.2294465,-0.1436655
RR034H_008_mad_W6a_S8,544,Citrobacter,Citrobacter,,9,46.0325092,4.5974712,2,10.2294465,2.4819136
RR034H_008_mad_W6a_S8,546,Citrobacter,Citrobacter freundii,,0,0,-100,1,5.1147232,7.5777474
RR034H_008_mad_W6a_S8,547,Enterobacter,Enterobacter,,0,0,-100,1,5.1147232,-0.1214766
RR034H_008_mad_W6a_S8,550,Enterobacter,Enterobacter cloacae,,0,0,-100,1,5.1147232,-0.0167349
RR034H_008_mad_W6a_S8,561,Escherichia,Escherichia,,233,1191.7305155,30.7846548,224,1145.6980063,31.6728199
RR034H_008_mad_W6a_S8,562,"",Escherichia coli,,233,1191.7305155,36.3831871,224,1145.6980063,33.1841869
RR034H_008_mad_W6a_S8,570,Klebsiella,Klebsiella,,2,10.2294465,0.1698602,8,40.9177859,0.4825455
RR034H_008_mad_W6a_S8,573,Klebsiella,Klebsiella pneumoniae,,0,0,-100,3,15.3441697,0.1768574
RR034H_008_mad_W6a_S8,586,Providencia,Providencia,,2479,12679.3989177,99,0,0,-100
RR034H_008_mad_W6a_S8,587,Providencia,Providencia rettgeri,,2479,12679.3989177,99,0,0,-100
RR034H_008_mad_W6a_S8,590,Salmonella,Salmonella,,0,0,-100,1,5.1147232,0.06265
RR034H_008_mad_W6a_S8,620,Shigella,Shigella,,0,0,-100,19,97.1797416,2.6891979
RR034H_008_mad_W6a_S8,622,Shigella,Shigella dysenteriae,,0,0,-100,7,35.8030627,99
RR034H_008_mad_W6a_S8,623,Shigella,Shigella flexneri,,0,0,-100,6,30.6883395,33.4604851
RR034H_008_mad_W6a_S8,624,Shigella,Shigella sonnei,,0,0,-100,6,30.6883395,1.1209016
RR034H_008_mad_W6a_S8,626,Xenorhabdus,Xenorhabdus,,2,10.2294465,96.1364798,0,0,-100
RR034H_008_mad_W6a_S8,662,Vibrio,Vibrio,,3,15.3441697,6.6373349,1,5.1147232,-0.201742
RR034H_008_mad_W6a_S8,666,Vibrio,Vibrio cholerae,,0,0,-100,1,5.1147232,0.3251748
RR034H_008_mad_W6a_S8,816,Bacteroides,Bacteroides,,0,0,-100,3,15.3441697,0.0400114
RR034H_008_mad_W6a_S8,817,Bacteroides,Bacteroides fragilis,,0,0,-100,1,5.1147232,4.4850732
RR034H_008_mad_W6a_S8,963,Herbaspirillum,Herbaspirillum,,3,15.3441697,0.0702277,0,0,-100
RR034H_008_mad_W6a_S8,1033,Afipia,Afipia,,8,40.9177859,-0.1521638,0,0,-100
RR034H_008_mad_W6a_S8,1073,Rhodopseudomonas,Rhodopseudomonas,,7,35.8030627,-0.183498,2,10.2294465,-0.1604779
RR034H_008_mad_W6a_S8,1076,Rhodopseudomonas,Rhodopseudomonas palustris,,7,35.8030627,-0.1831329,2,10.2294465,-0.0046082
RR034H_008_mad_W6a_S8,1084,Pararhodospirillum,Pararhodospirillum photometricum,,0,0,-100,1,5.1147232,-0.1173515
RR034H_008_mad_W6a_S8,1177,Nostoc,Nostoc,,0,0,-100,2,10.2294465,9.0748461
RR034H_008_mad_W6a_S8,1203,Scytonema,Scytonema,,0,0,-100,2,10.2294465,13.5534764
RR034H_008_mad_W6a_S8,1260,Finegoldia,Finegoldia magna,,2,10.2294465,1.6961989,0,0,-100
RR034H_008_mad_W6a_S8,1269,Micrococcus,Micrococcus,,4,20.458893,-0.0870004,0,0,-100
RR034H_008_mad_W6a_S8,1270,Micrococcus,Micrococcus luteus,,4,20.458893,-0.0287936,0,0,-100
RR034H_008_mad_W6a_S8,1279,Staphylococcus,Staphylococcus,,14,71.6061254,-0.1440312,23,117.6386346,-0.0193921
RR034H_008_mad_W6a_S8,1280,"",Staphylococcus aureus,,6,30.6883395,1.3873012,19,97.1797416,0.0763539
RR034H_008_mad_W6a_S8,1292,Staphylococcus,Staphylococcus warneri,,4,20.458893,3.5265279,0,0,-100
RR034H_008_mad_W6a_S8,1301,Streptococcus,Streptococcus,,1,5.1147232,-0.1993117,12,61.3766789,-0.1537046
RR034H_008_mad_W6a_S8,1307,Streptococcus,Streptococcus suis,,0,0,-100,2,10.2294465,0.1828176
RR034H_008_mad_W6a_S8,1328,Streptococcus,Streptococcus anginosus,,0,0,-100,10,51.1472324,0.2168633
RR034H_008_mad_W6a_S8,1350,Enterococcus,Enterococcus,,0,0,-100,4,20.458893,0.1132046
RR034H_008_mad_W6a_S8,1351,Enterococcus,Enterococcus faecalis,,0,0,-100,1,5.1147232,0.0610885
RR034H_008_mad_W6a_S8,1352,Enterococcus,Enterococcus faecium,,0,0,-100,3,15.3441697,7.0937594
RR034H_008_mad_W6a_S8,1375,Aerococcus,Aerococcus,,6,30.6883395,2.8287357,8,40.9177859,28.4779935
RR034H_008_mad_W6a_S8,1376,Aerococcus,Aerococcus urinae,,0,0,-100,2,10.2294465,75.0104403
RR034H_008_mad_W6a_S8,1377,Aerococcus,Aerococcus viridans,,0,0,-100,6,30.6883395,47.0280997
RR034H_008_mad_W6a_S8,1386,Bacillus,Bacillus,,2,10.2294465,0.1844374,1,5.1147232,-0.2628891
RR034H_008_mad_W6a_S8,1423,"",Bacillus subtilis,,2,10.2294465,28.7999238,0,0,-100
RR034H_008_mad_W6a_S8,1485,Clostridium,Clostridium,,0,0,-100,2,10.2294465,-0.1063846
RR034H_008_mad_W6a_S8,1578,Lactobacillus,Lactobacillus,,3,15.3441697,-0.2078855,9,46.0325092,0.1644451
RR034H_008_mad_W6a_S8,1637,Listeria,Listeria,,0,0,-100,1,5.1147232,0.364014
RR034H_008_mad_W6a_S8,1639,Listeria,Listeria monocytogenes,,0,0,-100,1,5.1147232,0.4919081
RR034H_008_mad_W6a_S8,1654,Actinomyces,Actinomyces,,0,0,-100,8,40.9177859,0.3340123
RR034H_008_mad_W6a_S8,1663,Arthrobacter,Arthrobacter,,2,10.2294465,0.1124439,2,10.2294465,0.0863746
RR034H_008_mad_W6a_S8,1678,Bifidobacterium,Bifidobacterium,,2,10.2294465,0.2255167,14,71.6061254,3.6522385
RR034H_008_mad_W6a_S8,1680,Bifidobacterium,Bifidobacterium adolescentis,,2,10.2294465,16.0613299,13,66.4914022,18.8293724
RR034H_008_mad_W6a_S8,1716,Corynebacterium,Corynebacterium,,1,5.1147232,-0.2554428,1,5.1147232,-0.2595457
RR034H_008_mad_W6a_S8,1743,Propionibacterium,Propionibacterium,,0,0,-100,4,20.458893,1.114195
RR034H_008_mad_W6a_S8,1744,Propionibacterium,Propionibacterium freudenreichii,,0,0,-100,4,20.458893,1.8648915
RR034H_008_mad_W6a_S8,1747,Cutibacterium,Cutibacterium acnes,,49,250.6214389,1.427161,39,199.4742065,6.7962097
RR034H_008_mad_W6a_S8,1763,Mycobacterium,Mycobacterium,,10,51.1472324,-0.0937079,3,15.3441697,-0.3215229
RR034H_008_mad_W6a_S8,1772,Mycolicibacterium,Mycolicibacterium smegmatis,,1,5.1147232,1.6751876,0,0,-100
RR034H_008_mad_W6a_S8,1773,Mycobacterium,Mycobacterium tuberculosis,,1,5.1147232,46.9924462,3,15.3441697,0.0868259
RR034H_008_mad_W6a_S8,1813,Amycolatopsis,Amycolatopsis,,1,5.1147232,0.8703878,0,0,-100
RR034H_008_mad_W6a_S8,1827,Rhodococcus,Rhodococcus,,31,158.5564205,0.4555752,11,56.2619557,-0.0924232
RR034H_008_mad_W6a_S8,1830,Rhodococcus,Rhodococcus ruber,,0,0,-100,1,5.1147232,0.0172923
RR034H_008_mad_W6a_S8,1833,Rhodococcus,Rhodococcus erythropolis,,3,15.3441697,0.5514499,8,40.9177859,2.5886097
RR034H_008_mad_W6a_S8,1865,Actinoplanes,Actinoplanes,,2,10.2294465,1.3373643,0,0,-100
RR034H_008_mad_W6a_S8,1873,Micromonospora,Micromonospora,,3,15.3441697,2.4059926,0,0,-100
RR034H_008_mad_W6a_S8,1883,Streptomyces,Streptomyces,,26,132.9828043,6.530454,20,102.2944648,0.5914673
RR034H_008_mad_W6a_S8,1886,Streptomyces,Streptomyces albidoflavus,,2,10.2294465,100,0,0,-100
RR034H_008_mad_W6a_S8,1915,Streptomyces,Streptomyces lincolnensis,,0,0,-100,7,35.8030627,3.7567638
RR034H_008_mad_W6a_S8,2040,Aeromicrobium,Aeromicrobium,,2,10.2294465,4.2915652,0,0,-100
RR034H_008_mad_W6a_S8,2745,Halomonas,Halomonas,,0,0,-100,2,10.2294465,0.0608856
RR034H_008_mad_W6a_S8,3066,Volvox,Volvox,,1,5.1147232,99,0,0,-100
RR034H_008_mad_W6a_S8,3067,Volvox,Volvox carteri,,1,5.1147232,99,0,0,-100
RR034H_008_mad_W6a_S8,3337,Pinus,Pinus,,0,0,-100,2,10.2294465,99
RR034H_008_mad_W6a_S8,3554,Beta,Beta,,0,0,-100,6,30.6883395,0.8190988
RR034H_008_mad_W6a_S8,3701,Arabidopsis,Arabidopsis,,5,25.5736162,99,0,0,-100
RR034H_008_mad_W6a_S8,3702,Arabidopsis,Arabidopsis thaliana,,4,20.458893,99,0,0,-100
RR034H_008_mad_W6a_S8,3705,Brassica,Brassica,,2,10.2294465,41.0172903,3,15.3441697,99
RR034H_008_mad_W6a_S8,3711,Brassica,Brassica rapa,,0,0,-100,1,5.1147232,99
RR034H_008_mad_W6a_S8,3712,Brassica,Brassica oleracea,,2,10.2294465,99,0,0,-100
RR034H_008_mad_W6a_S8,3766,Pyrus,Pyrus,,1,5.1147232,99,0,0,-100
RR034H_008_mad_W6a_S8,3987,Ricinus,Ricinus,,0,0,-100,13,66.4914022,34.0927388
RR034H_008_mad_W6a_S8,3988,Ricinus,Ricinus communis,,0,0,-100,13,66.4914022,34.0927388
RR034H_008_mad_W6a_S8,4005,Linum,Linum,,2,10.2294465,100,0,0,-100
RR034H_008_mad_W6a_S8,4006,Linum,Linum usitatissimum,,2,10.2294465,100,0,0,-100
RR034H_008_mad_W6a_S8,4071,Capsicum,Capsicum,,1,5.1147232,10.9499814,0,0,-100
RR034H_008_mad_W6a_S8,4081,Solanum,Solanum lycopersicum,,0,0,-100,2477,12669.1694712,99
RR034H_008_mad_W6a_S8,4107,Solanum,Solanum,,0,0,-100,2477,12669.1694712,99
RR034H_008_mad_W6a_S8,4145,Olea,Olea,,4,20.458893,100,0,0,-100
RR034H_008_mad_W6a_S8,4480,Aegilops,Aegilops,,2,10.2294465,3.2445563,0,0,-100
RR034H_008_mad_W6a_S8,4527,Oryza,Oryza,,3,15.3441697,8.3777391,0,0,-100
RR034H_008_mad_W6a_S8,4530,Oryza,Oryza sativa,,3,15.3441697,8.4383086,0,0,-100
RR034H_008_mad_W6a_S8,4564,Triticum,Triticum,,2,10.2294465,8.9845506,0,0,-100
RR034H_008_mad_W6a_S8,4565,Triticum,Triticum aestivum,,2,10.2294465,9.0487825,0,0,-100
RR034H_008_mad_W6a_S8,4640,Musa,Musa,,1,5.1147232,73.5647055,0,0,-100
RR034H_008_mad_W6a_S8,4641,Musa,Musa acuminata,,1,5.1147232,91.1964457,0,0,-100
RR034H_008_mad_W6a_S8,4769,Saprolegnia,Saprolegnia,,2,10.2294465,99,0,0,-100
RR034H_008_mad_W6a_S8,4943,Saccharomycopsis,Saccharomycopsis,,6,30.6883395,99,0,0,-100
RR034H_008_mad_W6a_S8,5052,Aspergillus,Aspergillus,,8,40.9177859,3.2688816,8,40.9177859,0.1999527
RR034H_008_mad_W6a_S8,5206,Cryptococcus,Cryptococcus,,5,25.5736162,1.9826894,0,0,-100
RR034H_008_mad_W6a_S8,5506,Fusarium,Fusarium,,0,0,-100,17,86.9502951,30.18937
RR034H_008_mad_W6a_S8,5543,Trichoderma,Trichoderma,,2,10.2294465,2.5300191,0,0,-100
RR034H_008_mad_W6a_S8,5583,Exophiala,Exophiala,,1,5.1147232,0.6169191,0,0,-100
RR034H_008_mad_W6a_S8,5658,Leishmania,Leishmania,,3,15.3441697,99,0,0,-100
RR034H_008_mad_W6a_S8,6237,Caenorhabditis,Caenorhabditis,,2,10.2294465,4.5682629,0,0,-100
RR034H_008_mad_W6a_S8,6239,Caenorhabditis,Caenorhabditis elegans,,2,10.2294465,99,0,0,-100
RR034H_008_mad_W6a_S8,6247,Strongyloides,Strongyloides,,1,5.1147232,22.4351848,0,0,-100
RR034H_008_mad_W6a_S8,7174,Culex,Culex,,27,138.0975275,95.3967127,0,0,-100
RR034H_008_mad_W6a_S8,7176,Culex,Culex quinquefasciatus,,27,138.0975275,95.3967127,0,0,-100
RR034H_008_mad_W6a_S8,7215,Drosophila,Drosophila,,4,20.458893,4.4457616,0,0,-100
RR034H_008_mad_W6a_S8,7459,Apis,Apis,,1,5.1147232,99,0,0,-100
RR034H_008_mad_W6a_S8,10509,Mastadenovirus,Mastadenovirus,,8,40.9177859,99,5,25.5736162,99
RR034H_008_mad_W6a_S8,12916,Acidovorax,Acidovorax,,35,179.0153135,1.0641112,48,245.5067156,1.7451912
RR034H_008_mad_W6a_S8,12960,Azoarcus,Azoarcus,,1,5.1147232,-0.1304096,0,0,-100
RR034H_008_mad_W6a_S8,13134,Magnetospirillum,Magnetospirillum,,1,5.1147232,1.2482393,0,0,-100
RR034H_008_mad_W6a_S8,13687,Sphingomonas,Sphingomonas,,7,35.8030627,-0.1485392,2,10.2294465,-0.2942401
RR034H_008_mad_W6a_S8,28067,Rubrivivax,Rubrivivax,,18,92.0650184,0.0910126,0,0,-100
RR034H_008_mad_W6a_S8,28068,Rubrivivax,Rubrivivax gelatinosus,,18,92.0650184,0.0918687,0,0,-100
RR034H_008_mad_W6a_S8,28077,Nitrospirillum,Nitrospirillum amazonense,,1,5.1147232,0.8078964,0,0,-100
RR034H_008_mad_W6a_S8,28105,Sinorhizobium,Sinorhizobium,,3,15.3441697,0.6349437,0,0,-100
RR034H_008_mad_W6a_S8,28263,Arcanobacterium,Arcanobacterium,,0,0,-100,3,15.3441697,1.1157822
RR034H_008_mad_W6a_S8,28450,Burkholderia,Burkholderia pseudomallei,,2,10.2294465,0.1274378,1,5.1147232,-0.1331718
RR034H_008_mad_W6a_S8,28901,Salmonella,Salmonella enterica,,0,0,-100,1,5.1147232,0.0715317
RR034H_008_mad_W6a_S8,29438,Pseudomonas,Pseudomonas savastanoi,,0,0,-100,3,15.3441697,18.5076818
RR034H_008_mad_W6a_S8,29448,Bradyrhizobium,Bradyrhizobium elkanii,,5,25.5736162,2.5764636,5,25.5736162,-0.2246199
RR034H_008_mad_W6a_S8,29449,Rhizobium,Rhizobium etli,,5,25.5736162,10.0369263,0,0,-100
RR034H_008_mad_W6a_S8,29580,Janthinobacterium,Janthinobacterium,,2,10.2294465,0.2298639,2,10.2294465,0.0137818
RR034H_008_mad_W6a_S8,32002,Achromobacter,Achromobacter denitrificans,,0,0,-100,2,10.2294465,6.522372
RR034H_008_mad_W6a_S8,32008,Burkholderia,Burkholderia,,71,363.1453502,1.1195501,40,204.5889297,0.5158686
RR034H_008_mad_W6a_S8,32012,Thiomonas,Thiomonas,,0,0,-100,2,10.2294465,-0.0769069
RR034H_008_mad_W6a_S8,33039,Blautia,[Ruminococcus] torques,,0,0,-100,2,10.2294465,3.2069828
RR034H_008_mad_W6a_S8,33882,Microbacterium,Microbacterium,,2,10.2294465,-0.2718188,0,0,-100
RR034H_008_mad_W6a_S8,34008,Rhodovulum,Rhodovulum,,0,0,-100,1,5.1147232,1.9995343
RR034H_008_mad_W6a_S8,34062,Moraxella,Moraxella osloensis,,4,20.458893,-0.1161105,0,0,-100
RR034H_008_mad_W6a_S8,34072,Variovorax,Variovorax,,20,102.2944648,0.1917803,23,117.6386346,0.1943352
RR034H_008_mad_W6a_S8,34073,Variovorax,Variovorax paradoxus,,14,71.6061254,0.1991903,12,61.3766789,0.5331995
RR034H_008_mad_W6a_S8,35806,Rhodovulum,Rhodovulum sulfidophilum,,0,0,-100,1,5.1147232,3.0628606
RR034H_008_mad_W6a_S8,36086,Trichuris,Trichuris,,0,0,-100,3,15.3441697,1.8394381
RR034H_008_mad_W6a_S8,36087,Trichuris,Trichuris trichiura,,0,0,-100,3,15.3441697,1.839509
RR034H_008_mad_W6a_S8,36809,Mycobacteroides,Mycobacteroides abscessus,,3,15.3441697,0.2981188,12,61.3766789,0.184216
RR034H_008_mad_W6a_S8,37682,Aegilops,Aegilops tauschii,,2,10.2294465,3.2491872,0,0,-100
RR034H_008_mad_W6a_S8,37919,Rhodococcus,Rhodococcus opacus,,3,15.3441697,6.8866799,0,0,-100
RR034H_008_mad_W6a_S8,40214,Acinetobacter,Acinetobacter johnsonii,,5,25.5736162,-0.1036587,3,15.3441697,0.3734064
RR034H_008_mad_W6a_S8,40323,Stenotrophomonas,Stenotrophomonas,,17,86.9502951,-0.0201911,15,76.7208486,0.0808254
RR034H_008_mad_W6a_S8,40324,Stenotrophomonas,Stenotrophomonas maltophilia,,9,46.0325092,-0.1324673,8,40.9177859,0.1020756
RR034H_008_mad_W6a_S8,40520,Blautia,Blautia obeum,,0,0,-100,1,5.1147232,1.0520965
RR034H_008_mad_W6a_S8,41068,Aspergillus,Aspergillus campestris,,0,0,-100,1,5.1147232,100
RR034H_008_mad_W6a_S8,41275,Brevundimonas,Brevundimonas,,2,10.2294465,-0.2185187,0,0,-100
RR034H_008_mad_W6a_S8,41820,Culicoides,Culicoides,,1,5.1147232,100,0,0,-100
RR034H_008_mad_W6a_S8,43668,Brachybacterium,Brachybacterium,,6,30.6883395,1.1227342,1,5.1147232,0.0558028
RR034H_008_mad_W6a_S8,45350,Nematostella,Nematostella,,1,5.1147232,6.6218566,1,5.1147232,99
RR034H_008_mad_W6a_S8,45351,Nematostella,Nematostella vectensis,,1,5.1147232,6.6218566,1,5.1147232,99
RR034H_008_mad_W6a_S8,46580,Spirometra,Spirometra,,7,35.8030627,99,0,0,-100
RR034H_008_mad_W6a_S8,47420,Hydrogenophaga,Hydrogenophaga,,1,5.1147232,-0.2538366,0,0,-100
RR034H_008_mad_W6a_S8,47715,Lactobacillus,Lactobacillus rhamnosus,,0,0,-100,5,25.5736162,12.0825579
RR034H_008_mad_W6a_S8,47877,Pseudomonas,Pseudomonas amygdali,,0,0,-100,1,5.1147232,-0.0796959
RR034H_008_mad_W6a_S8,47878,Pseudomonas,Pseudomonas azotoformans,,2,10.2294465,1.8478422,1,5.1147232,32.4692287
RR034H_008_mad_W6a_S8,47920,Acidovorax,Acidovorax delafieldii,,0,0,-100,2,10.2294465,0.9181228
RR034H_008_mad_W6a_S8,48736,Ralstonia,Ralstonia,,88,450.0956453,-0.1408672,68,347.8011805,-0.1591929
RR034H_008_mad_W6a_S8,50451,Arabis,Arabis,,1,5.1147232,99,0,0,-100
RR034H_008_mad_W6a_S8,50452,Arabis,Arabis alpina,,1,5.1147232,99,0,0,-100
RR034H_008_mad_W6a_S8,51201,Streptomyces,Streptomyces griseocarneus,,0,0,-100,3,15.3441697,100
RR034H_008_mad_W6a_S8,51453,Trichoderma,Trichoderma reesei,,1,5.1147232,2.6270503,0,0,-100
RR034H_008_mad_W6a_S8,51665,Aerococcus,Aerococcus urinaeequi,,6,30.6883395,12.7146657,0,0,-100
RR034H_008_mad_W6a_S8,52770,Actinomyces,Actinomyces hordeovulneris,,0,0,-100,6,30.6883395,1.2449294
RR034H_008_mad_W6a_S8,52972,Polaromonas,Polaromonas,,2,10.2294465,0.0041419,1,5.1147232,-0.0774717
RR034H_008_mad_W6a_S8,53246,Pseudoalteromonas,Pseudoalteromonas,,1,5.1147232,0.4612831,0,0,-100
RR034H_008_mad_W6a_S8,53457,Janibacter,Janibacter,,8,40.9177859,4.7990798,0,0,-100
RR034H_008_mad_W6a_S8,54298,Chroococcidiopsis,Chroococcidiopsis,,2,10.2294465,-0.0743909,0,0,-100
RR034H_008_mad_W6a_S8,55193,Malassezia,Malassezia,,4,20.458893,-0.2142205,0,0,-100
RR034H_008_mad_W6a_S8,57493,Kocuria,Kocuria,,3,15.3441697,-0.1715443,0,0,-100
RR034H_008_mad_W6a_S8,59600,Cellulophaga,Cellulophaga algicola,,5,25.5736162,99,0,0,-100
RR034H_008_mad_W6a_S8,60552,Burkholderia,Burkholderia vietnamiensis,,2,10.2294465,1.0165809,0,0,-100
RR034H_008_mad_W6a_S8,65047,Mitsuaria,Mitsuaria,,10,51.1472324,-0.1778759,5,25.5736162,0.1495101
RR034H_008_mad_W6a_S8,65496,Actinoalloteichus,Actinoalloteichus,,1,5.1147232,3.2811678,0,0,-100
RR034H_008_mad_W6a_S8,68287,Mesorhizobium,Mesorhizobium,,2,10.2294465,-0.1722579,3,15.3441697,-0.175048
RR034H_008_mad_W6a_S8,69395,Caulobacter,Caulobacter henricii,,1,5.1147232,0.0826503,0,0,-100
RR034H_008_mad_W6a_S8,71999,Kocuria,Kocuria palustris,,1,5.1147232,-0.0285459,0,0,-100
RR034H_008_mad_W6a_S8,75105,Paraburkholderia,Paraburkholderia caribensis,,1,5.1147232,1.1365699,0,0,-100
RR034H_008_mad_W6a_S8,75984,Mannheimia,Mannheimia,,1,5.1147232,1.2703496,0,0,-100
RR034H_008_mad_W6a_S8,76489,Clostridium,Clostridium acetireducens,,0,0,-100,2,10.2294465,5.8129241
RR034H_008_mad_W6a_S8,76731,Roseateles,Roseateles depolymerans,,17,86.9502951,0.0598979,16,81.8355719,5.379696
RR034H_008_mad_W6a_S8,76759,Pseudomonas,Pseudomonas monteilii,,3,15.3441697,19.5456666,0,0,-100
RR034H_008_mad_W6a_S8,76775,Malassezia,Malassezia restricta,,4,20.458893,0.3030961,0,0,-100
RR034H_008_mad_W6a_S8,77133,"",uncultured bacterium,,64,327.3422875,0.9256518,2,10.2294465,-0.1659917
RR034H_008_mad_W6a_S8,78543,Pseudomonas,Pseudomonas migulae,,0,0,-100,10,51.1472324,99
RR034H_008_mad_W6a_S8,80865,Delftia,Delftia,,3543,18121.4644476,10.0712556,2867,14663.9115357,99
RR034H_008_mad_W6a_S8,80866,Delftia,Delftia acidovorans,,2032,10393.1176284,99,2177,11134.7524985,99
RR034H_008_mad_W6a_S8,80867,Acidovorax,Acidovorax avenae,,1,5.1147232,0.0067125,13,66.4914022,99
RR034H_008_mad_W6a_S8,80869,Acidovorax,Acidovorax citrulli,,1,5.1147232,0.0114841,3,15.3441697,86.5129855
RR034H_008_mad_W6a_S8,80880,Hylemonella,Hylemonella gracilis,,0,0,-100,2,10.2294465,3.6258581
RR034H_008_mad_W6a_S8,81055,Wolfiporia,Wolfiporia,,6,30.6883395,8.4605004,0,0,-100
RR034H_008_mad_W6a_S8,81056,Wolfiporia,Wolfiporia cocos,,6,30.6883395,8.4605004,0,0,-100
